fid,Stop Name,Stop lat,Stop lon
1,Kelambakkam Bus Terminal,12.78651512,80.22190038
2,Kelambakkmm Police Station,12.78539961,80.21990367
3,AP Super Market,12.78902738,80.22132771
4,Chettinad Hospital,12.79594685,80.22281301
5,Hindustan College,12.80137894,80.22351492
6,Padur,12.80549536,80.22406912
7,Akshaya Padur,12.81101989,80.22794595
8,Kazhipattur,12.81964144,80.23039239
9,Vaniyanchavadi Padma Adarsh School,12.82634784,80.23128127
10,IT Park Siruseri Or Muttukadu,12.8331505,80.2287318
11,Navallur,12.8447227,80.22643295
12,AGS Complex Navalur,12.85039744,80.22641201
13,Semmancheri,12.86165875,80.22640137
14,Satyabhama University,12.87104949,80.22641348
15,Kumaran Nagar,12.87764363,80.22664666
16,Ponniamman Kovil,12.88607039,80.22668805
17,Government School Sholinganallur,12.89454721,80.22740829
18,Sholinganallur,12.89991265,80.22767727
19,Dollar Or Accenture,12.907483,80.22815376
20,Karapakkam,12.91349756,80.22904078
21,KCG College,12.91977239,80.2299028
22,Okkiyampet,12.92577391,80.2306817
23,PTC Quarters Or Mootakaran Chavadi,12.93298396,80.23226846
24,Mettukuppam,12.93914457,80.23517663
25,D B Jain College,12.9466101,80.23950895
26,Seevaram,12.95104033,80.24123143
27,Perungudi,12.95883715,80.24428319
28,Kandanchavadi,12.96693487,80.24782736
29,I G P,12.97430009,80.25036841
30,S R P Tools,12.9802366,80.25121283
31,Tharamani Or IRTC Junction,12.98129703,80.24272015
32,Baby Nagar,12.98040263,80.22859246
33,Tansi Nagar,12.97836347,80.2252851
34,Velachery,12.97596647,80.22108513
35,Dhandeeswaran Nagar,12.98545721,80.22324889
36,Gandhi Road,12.98775533,80.2230339
37,Guru Nanak College,12.99050851,80.22030116
38,Vellacherry Check Post,12.9971584,80.21638976
39,Maduvankarai,13.00366368,80.21173369
40,Guindy M K N Salai,13.00723642,80.20971883
41,CIPET,13.01470614,80.20444027
42,Kalaimagal Nagar,13.02428904,80.20665301
43,Kasi Theatre,13.02925856,80.20868106
44,KK Nagar Telephone Exchange Jaffarkhanpet,13.03164136,80.20930785
45,Udhayam Theatre Or Ashok Pillar,13.03513356,80.21088471
46,Ashok Nagar Canara Bank,13.03985054,80.21219317
47,Vadapalani,13.04701073,80.21209076
48,Thiru Nagar,13.05741297,80.2112959
49,MMDA Colony Road Junction,13.06507603,80.2108831
50,CMBT Koyembedu Bus Depot,13.06898161,80.20518932
51,Seemapuram,13.26230932,80.25041886
52,Chinna Madiyoor,13.2692583,80.240939
53,Kanniyampalayam,13.27561408,80.21199274
54,Pudukuppam,13.27468921,80.19872383
55,Attaipalayam,13.26995891,80.19668688
56,Nerkundram,13.26708546,80.1831702
57,Sothupermedu,13.25433461,80.17156849
58,Don Bosco Matriculation School Karanodai,13.25237883,80.15544429
59,Karanodai,13.24705128,80.15757848
60,Sholavaram High School Or BDO Office,13.24256378,80.15987267
61,Sholavaram,13.23958819,80.1608657
62,Sholavaram 3,13.23529574,80.1624151
63,Sengalamman Koil Or Sholavaram 4,13.2296388,80.16477148
64,Sembilivaram Or Nallur Road Junction,13.22722475,80.16565296
65,Vijaya Nallur,13.22108968,80.16795724
66,Semilivaram Or Nallur Toll Plaza,13.2175298,80.16942355
67,Redhills RTO Office,13.21474288,80.17027921
68,Padianallur Check Post Or Vijaya Nallur,13.20893028,80.17245023
69,Padianallur,13.2042075,80.17528292
70,Mondiyaman Nagar,13.19903161,80.17915159
71,Redhills Bus Terminus,13.19305567,80.18436916
72,Redhills Market,13.18965644,80.18746141
73,Ayurveda Ashramam,13.18453207,80.19163019
74,Sri Nallaghu Polytechnic College,13.17877002,80.19489143
75,Thandal Kazhani,13.17602419,80.19639902
76,Kavangarai,13.17049128,80.19951553
77,Puzhal Jail,13.1638602,80.20267356
78,Puzhal Camp,13.15803314,80.2039709
79,Kathirvedu Bypass or Cycgle Shop,13.15341405,80.20837754
80,Madhavaram Rountana,13.1439843,80.22014399
81,Madhavaram Bypass,13.14048418,80.21864907
